,LABEL,COMMENT,comclean,cleaned,sen_len1,sen_len2,sen_len3,tokens
1503,HP,गुज्जूभाई बनया दबंग यह क्यों नहीं मिलता है यूट्यूब पर,गुज्जूभाई बनया दबंग यह क्यों नहीं मिलता है यूट्यूब पर,गुज्जूभाई बनया दबंग यह क्यों नहीं मिलता है यूट्यूब पर,53,53,53,"['गुज्जूभाई', 'बनया', 'दबंग', 'यह', 'क्यों', 'नहीं', 'मिलता', 'है', 'यूट्यूब', 'पर']"
1546,HP,उमंग व्यास जी और उनकी टीम को बहुत बहुत धन्यवाद इस सुंदर प्रस्तुति के लिए,उमंग व्यास जी और उनकी टीम को बहुत बहुत धन्यवाद इस सुंदर प्रस्तुति के लिए,उमंग व्यास जी और उनकी टीम को बहुत बहुत धन्यवाद इस सुंदर प्रस्तुति के लिए,72,72,72,"['उमंग', 'व्यास', 'जी', 'और', 'उनकी', 'टीम', 'को', 'बहुत', 'बहुत', 'धन्यवाद', 'इस', 'सुंदर', 'प्रस्तुति', 'के', 'लिए']"
1547,HP,"मुझे गुजराती बिल्कुल नहीं आती लेकिन पूरी फिल्म देख ली 
 
 कमाल कमाल कमाल","मुझे गुजराती बिल्कुल नहीं आती लेकिन पूरी फिल्म देख ली 
 
 कमाल कमाल कमाल","मुझे गुजराती बिल्कुल नहीं आती लेकिन पूरी फिल्म देख ली 
 
 कमाल कमाल कमाल",72,72,72,"['मुझे', 'गुजराती', 'बिल्कुल', 'नहीं', 'आती', 'लेकिन', 'पूरी', 'फिल्म', 'देख', 'ली', 'कमाल', 'कमाल', 'कमाल']"
1741,HP,यत्र तत्र सर्वत्र प्रेम ही प्रेम है।।,यत्र तत्र सर्वत्र प्रेम ही प्रेम है।।,यत्र तत्र सर्वत्र प्रेम ही प्रेम है।।,37,37,37,"['यत्र', 'तत्र', 'सर्वत्र', 'प्रेम', 'ही', 'प्रेम', 'है।।']"
1781,HP,महेसुजी,महेसुजी,महेसुजी,7,7,7,['महेसुजी']
1837,HP,फिलम,फिलम,फिलम,4,4,4,['फिलम']
2098,HP,"हमने कही लोगो को  , 
 देखा है, अपने परीवार, के  
 लोग को, भुखा, मारते है,  
 ओर विदेशी, ओ, की,  
 सेवा में हाज़िर, रहते हैं","हमने कही लोगो को   
 देखा है अपने परीवार के  
 लोग को भुखा मारते है  
 ओर विदेशी ओ की  
 सेवा में हाज़िर रहते हैं","हमने कही लोगो को   
 देखा है अपने परीवार के  
 लोग को भुखा मारते है  
 ओर विदेशी ओ की  
 सेवा में हाज़िर रहते हैं",123,113,113,"['हमने', 'कही', 'लोगो', 'को', 'देखा', 'है', 'अपने', 'परीवार', 'के', 'लोग', 'को', 'भुखा', 'मारते', 'है', 'ओर', 'विदेशी', 'ओ', 'की', 'सेवा', 'में', 'हाज़िर', 'रहते', 'हैं']"
2118,HP,मोदी हे तो सब कुछ मुमकिन है,मोदी हे तो सब कुछ मुमकिन है,मोदी हे तो सब कुछ मुमकिन है,27,27,27,"['मोदी', 'हे', 'तो', 'सब', 'कुछ', 'मुमकिन', 'है']"
2124,HP,फेंक न्यूज चैनल BBC न्यूज,फेंक न्यूज चैनल BBC न्यूज,फेंक न्यूज चैनल BBC न्यूज,25,25,25,"['फेंक', 'न्यूज', 'चैनल', 'bbc', 'न्यूज']"
2157,HP,कोई नहीं मारसकता मोदीजी को,कोई नहीं मारसकता मोदीजी को,कोई नहीं मारसकता मोदीजी को,26,26,26,"['कोई', 'नहीं', 'मारसकता', 'मोदीजी', 'को']"
