,LABEL,COMMENT,comclean,cleaned,sen_len1,sen_len2,sen_len3,tokens
109,HM,VA ..... VA. KYA BAT HE,VA  VA KYA BAT HE,VA  VA KYA BAT HE,23,17,17,"['va', 'va', 'kya', 'bat', 'he']"
204,HM,Bahut khub jitu bhay,Bahut khub jitu bhay,Bahut khub jitu bhay,20,20,20,"['bahut', 'khub', 'jitu', 'bhay']"
214,HM,Sab se ðŸ‘ðŸ’¯ 1 nambr,Sab se ðŸ‘ðŸ’¯ 1 nambr,Sab se  1 nambr,23,23,15,"['sab', 'se', '1', 'nambr']"
234,HM,Sachi bat he jitu bhai AAP  ko call nahi kiya par aap ki video nice  he,Sachi bat he jitu bhai AAP  ko call nahi kiya par aap ki video nice  he,Sachi bat he jitu bhai AAP  ko call nahi kiya par aap ki video nice  he,71,71,71,"['sachi', 'bat', 'he', 'jitu', 'bhai', 'aap', 'ko', 'call', 'nahi', 'kiya', 'par', 'aap', 'ki', 'video', 'nice', 'he']"
257,HM,joks bhejo,joks bhejo,joks bhejo,10,10,10,"['joks', 'bhejo']"
285,HM,mangu kisise Kam nahi,mangu kisise Kam nahi,mangu kisise Kam nahi,21,21,21,"['mangu', 'kisise', 'kam', 'nahi']"
324,HM,Hit hai,Hit hai,Hit hai,7,7,7,"['hit', 'hai']"
510,HM,Meri wife bhi aise he !!,Meri wife bhi aise he ,Meri wife bhi aise he ,24,22,22,"['meri', 'wife', 'bhi', 'aise', 'he', '']"
511,HM,Harami !!! Us ke papa ke wahaa Chali gayii he !!,Harami  Us ke papa ke wahaa Chali gayii he ,Harami  Us ke papa ke wahaa Chali gayii he ,48,43,43,"['harami', 'us', 'ke', 'papa', 'ke', 'wahaa', 'chali', 'gayii', 'he', '']"
512,HM,Me us Ko phone bhi nahi karta na ,Me us Ko phone bhi nahi karta na ,Me us Ko phone bhi nahi karta na ,33,33,33,"['me', 'us', 'ko', 'phone', 'bhi', 'nahi', 'karta', 'na', '']"
513,HM,Na yaad karta hu !!,Na yaad karta hu ,Na yaad karta hu ,19,17,17,"['na', 'yaad', 'karta', 'hu', '']"
514,HM,Office me busy rehta hu ,Office me busy rehta hu ,Office me busy rehta hu ,24,24,24,"['office', 'me', 'busy', 'rehta', 'hu', '']"
515,HM,Concentration Apne kaam me lagaavo !!,Concentration Apne kaam me lagaavo ,Concentration Apne kaam me lagaavo ,37,35,35,"['concentration', 'apne', 'kaam', 'me', 'lagaavo', '']"
588,HM,Esme koi maja nahi,Esme koi maja nahi,Esme koi maja nahi,18,18,18,"['esme', 'koi', 'maja', 'nahi']"
675,HM,Fast mene dekha,Fast mene dekha,Fast mene dekha,15,15,15,"['fast', 'mene', 'dekha']"
702,HM,Jo apako 3 sem me university badalani ho to badal sakti he in gujrat me ,Jo apako 3 sem me university badalani ho to badal sakti he in gujrat me ,Jo apako 3 sem me university badalani ho to badal sakti he in gujrat me ,72,72,72,"['jo', 'apako', '3', 'sem', 'me', 'university', 'badalani', 'ho', 'to', 'badal', 'sakti', 'he', 'in', 'gujrat', 'me', '']"
723,HM,Pauranik itihas to hamare nam he,Pauranik itihas to hamare nam he,Pauranik itihas to hamare nam he,32,32,32,"['pauranik', 'itihas', 'to', 'hamare', 'nam', 'he']"
762,HM,Sir aap jo quetion student ko pu6te ho or wo answer dete hai w/o words a66e se sunai nai dete plz un words ko aap bi 1 bar bole,Sir aap jo quetion student ko pu6te ho or wo answer dete hai wo words a66e se sunai nai dete plz un words ko aap bi 1 bar bole,Sir aap jo quetion student ko pu6te ho or wo answer dete hai wo words a66e se sunai nai dete plz un words ko aap bi 1 bar bole,127,126,126,"['sir', 'aap', 'jo', 'quetion', 'student', 'ko', 'pu6te', 'ho', 'or', 'wo', 'answer', 'dete', 'hai', 'wo', 'words', 'a66e', 'se', 'sunai', 'nai', 'dete', 'plz', 'un', 'words', 'ko', 'aap', 'bi', '1', 'bar', 'bole']"
810,HM,Sir aap bahot hi a6aa karate hoooo.....Aapke videos a6e lage.... ,Sir aap bahot hi a6aa karate hooooAapke videos a6e lage ,Sir aap bahot hi a6aa karate hooooAapke videos a6e lage ,65,56,56,"['sir', 'aap', 'bahot', 'hi', 'a6aa', 'karate', 'hooooaapke', 'videos', 'a6e', 'lage', '']"
811,HM, But Students ki aavaz background me disturb karti h.... , But Students ki aavaz background me disturb karti h , But Students ki aavaz background me disturb karti h ,57,53,53,"['', 'but', 'students', 'ki', 'aavaz', 'background', 'me', 'disturb', 'karti', 'h', '']"
812,HM, plzzz alag se video upload kare , plzzz alag se video upload kare , plzzz alag se video upload kare ,33,33,33,"['', 'plzzz', 'alag', 'se', 'video', 'upload', 'kare', '']"
813,HM, Thank u, Thank u, Thank u,8,8,8,"['', 'thank', 'u']"
1091,HM,Nice sir aur naya baillif examm ke liye bhejna,Nice sir aur naya baillif examm ke liye bhejna,Nice sir aur naya baillif examm ke liye bhejna,46,46,46,"['nice', 'sir', 'aur', 'naya', 'baillif', 'examm', 'ke', 'liye', 'bhejna']"
1263,HM,Hiiii sir me bahut  tension and porlem me hu aagar aapke kisi bhi business muje job Mel sakta hai  ,Hiiii sir me bahut  tension and porlem me hu aagar aapke kisi bhi business muje job Mel sakta hai  ,Hiiii sir me bahut  tension and porlem me hu aagar aapke kisi bhi business muje job Mel sakta hai  ,99,99,99,"['hiiii', 'sir', 'me', 'bahut', 'tension', 'and', 'porlem', 'me', 'hu', 'aagar', 'aapke', 'kisi', 'bhi', 'business', 'muje', 'job', 'mel', 'sakta', 'hai', '']"
1282,HM,salary  kitni bhi ho  bas muje Kam de do sir me handicap hu sir please muje ans dena,salary  kitni bhi ho  bas muje Kam de do sir me handicap hu sir please muje ans dena,salary  kitni bhi ho  bas muje Kam de do sir me handicap hu sir please muje ans dena,84,84,84,"['salary', 'kitni', 'bhi', 'ho', 'bas', 'muje', 'kam', 'de', 'do', 'sir', 'me', 'handicap', 'hu', 'sir', 'please', 'muje', 'ans', 'dena']"
1303,HM,Jina esika nam he🙏🙏🙏🙏🙏,Jina esika nam he🙏🙏🙏🙏🙏,Jina esika nam he,22,22,17,"['jina', 'esika', 'nam', 'he']"
1324,HM,आपकी look Actor Sanjay kapoor जैसी है। And your speech is awsome👌👌👌👌,आपकी look Actor Sanjay kapoor जैसी है। And your speech is awsome👌👌👌👌,आपकी look Actor Sanjay kapoor जैसी है। And your speech is awsome,68,68,64,"['आपकी', 'look', 'actor', 'sanjay', 'kapoor', 'जैसी', 'है।', 'and', 'your', 'speech', 'is', 'awsome']"
1331,HM,"Sir plz appke lecture hindi me kiyejiye, we want this heartly",Sir plz appke lecture hindi me kiyejiye we want this heartly,Sir plz appke lecture hindi me kiyejiye we want this heartly,61,60,60,"['sir', 'plz', 'appke', 'lecture', 'hindi', 'me', 'kiyejiye', 'we', 'want', 'this', 'heartly']"
1345,HM,Zabardest speech sir Hindi Mai do,Zabardest speech sir Hindi Mai do,Zabardest speech sir Hindi Mai do,33,33,33,"['zabardest', 'speech', 'sir', 'hindi', 'mai', 'do']"
1352,HM,Sir Hindi mai bhi bnaye plz sir,Sir Hindi mai bhi bnaye plz sir,Sir Hindi mai bhi bnaye plz sir,31,31,31,"['sir', 'hindi', 'mai', 'bhi', 'bnaye', 'plz', 'sir']"
1365,HM,tiger jinda  he,tiger jinda  he,tiger jinda  he,15,15,15,"['tiger', 'jinda', 'he']"
1412,HM,Sir m u.p se hu pr bhut acha laga mujhe aap ko sunkr,Sir m up se hu pr bhut acha laga mujhe aap ko sunkr,Sir m up se hu pr bhut acha laga mujhe aap ko sunkr,52,51,51,"['sir', 'm', 'up', 'se', 'hu', 'pr', 'bhut', 'acha', 'laga', 'mujhe', 'aap', 'ko', 'sunkr']"
1415,HM, sir I promise to you  mai aap aap ke padchino pr Cl ne ka pura prayash kru ga aap se ashirvad ki kamna krta hu 🙏🙏🙏🙏🙏🙏🙏, sir I promise to you  mai aap aap ke padchino pr Cl ne ka pura prayash kru ga aap se ashirvad ki kamna krta hu 🙏🙏🙏🙏🙏🙏🙏, sir I promise to you  mai aap aap ke padchino pr Cl ne ka pura prayash kru ga aap se ashirvad ki kamna krta hu ,119,119,112,"['', 'sir', 'i', 'promise', 'to', 'you', 'mai', 'aap', 'aap', 'ke', 'padchino', 'pr', 'cl', 'ne', 'ka', 'pura', 'prayash', 'kru', 'ga', 'aap', 'se', 'ashirvad', 'ki', 'kamna', 'krta', 'hu', '']"
1418,HM,Hindi me bhiboliye hindi samajhane wale. adhik hai India me,Hindi me bhiboliye hindi samajhane wale adhik hai India me,Hindi me bhiboliye hindi samajhane wale adhik hai India me,59,58,58,"['hindi', 'me', 'bhiboliye', 'hindi', 'samajhane', 'wale', 'adhik', 'hai', 'india', 'me']"
1437,HM,Vah sir tussi to dil khush kar dala,Vah sir tussi to dil khush kar dala,Vah sir tussi to dil khush kar dala,35,35,35,"['vah', 'sir', 'tussi', 'to', 'dil', 'khush', 'kar', 'dala']"
1456,HM,"3.5/5 
 but mast movie hai.. 
 ek bar dekhni chaiye","355 
 but mast movie hai 
 ek bar dekhni chaiye","355 
 but mast movie hai 
 ek bar dekhni chaiye",51,47,47,"['355', 'but', 'mast', 'movie', 'hai', 'ek', 'bar', 'dekhni', 'chaiye']"
1491,HM,humko vaga he😅😅😅😅,humko vaga he😅😅😅😅,humko vaga he,17,17,13,"['humko', 'vaga', 'he']"
1504,HM,બેન હમકો વાગા હૈ 😂😂😂😂,બેન હમકો વાગા હૈ 😂😂😂😂,બેન હમકો વાગા હૈ ,21,21,17,"['બેન', 'હમકો', 'વાગા', 'હૈ', '']"
1517,HM,Super se upar movie hai yaar,Super se upar movie hai yaar,Super se upar movie hai yaar,28,28,28,"['super', 'se', 'upar', 'movie', 'hai', 'yaar']"
1523,HM,Super movie hai…,Super movie hai…,Super movie hai,16,16,15,"['super', 'movie', 'hai']"
1533,HM,Kon Kon gujjubhai ke asli namko janta hai like karae,Kon Kon gujjubhai ke asli namko janta hai like karae,Kon Kon gujjubhai ke asli namko janta hai like karae,52,52,52,"['kon', 'kon', 'gujjubhai', 'ke', 'asli', 'namko', 'janta', 'hai', 'like', 'karae']"
1581,HM,"Grt movie,,,Sach me Rula diya😢😢",Grt movieSach me Rula diya😢😢,Grt movieSach me Rula diya,31,28,26,"['grt', 'moviesach', 'me', 'rula', 'diya']"
1608,HM,Bhai yeto marathi film ki copy kiya hai😂😂😂😂,Bhai yeto marathi film ki copy kiya hai😂😂😂😂,Bhai yeto marathi film ki copy kiya hai,43,43,39,"['bhai', 'yeto', 'marathi', 'film', 'ki', 'copy', 'kiya', 'hai']"
1633,HM,अयुव,अयुव,अयुव,4,4,4,['अयुव']
1646,HM,subscribe kar lena dostsubscribe kar lena subscribe kar lena dost,subscribe kar lena dostsubscribe kar lena subscribe kar lena dost,subscribe kar lena dostsubscribe kar lena subscribe kar lena dost,65,65,65,"['subscribe', 'kar', 'lena', 'dostsubscribe', 'kar', 'lena', 'subscribe', 'kar', 'lena', 'dost']"
1665,HM,Are super se user movi,Are super se user movi,Are super se user movi,22,22,22,"['are', 'super', 'se', 'user', 'movi']"
1702,HM,आनै कहै छै गांडाओ नि फिलम,आनै कहै छै गांडाओ नि फिलम,आनै कहै छै गांडाओ नि फिलम,25,25,25,"['आनै', 'कहै', 'छै', 'गांडाओ', 'नि', 'फिलम']"
1727,HM, Kitane salo ke bad mene ye movie dekhi.., Kitane salo ke bad mene ye movie dekhi, Kitane salo ke bad mene ye movie dekhi,41,39,39,"['', 'kitane', 'salo', 'ke', 'bad', 'mene', 'ye', 'movie', 'dekhi']"
1728,HM,itni khus thi me jab ye movie chalu kiya to lekin movie dekhne ki sari khushi chali gai song's ke bina to 😭😭😭😭,itni khus thi me jab ye movie chalu kiya to lekin movie dekhne ki sari khushi chali gai songs ke bina to 😭😭😭😭,itni khus thi me jab ye movie chalu kiya to lekin movie dekhne ki sari khushi chali gai songs ke bina to ,110,109,105,"['itni', 'khus', 'thi', 'me', 'jab', 'ye', 'movie', 'chalu', 'kiya', 'to', 'lekin', 'movie', 'dekhne', 'ki', 'sari', 'khushi', 'chali', 'gai', 'songs', 'ke', 'bina', 'to', '']"
1888,HM,2020 aa Gaya Yaar movie nhi aai,2020 aa Gaya Yaar movie nhi aai,2020 aa Gaya Yaar movie nhi aai,31,31,31,"['2020', 'aa', 'gaya', 'yaar', 'movie', 'nhi', 'aai']"
1936,HM,Ye movie Hindi me  kaha dekh sakta hu? ,Ye movie Hindi me  kaha dekh sakta hu ,Ye movie Hindi me  kaha dekh sakta hu ,39,38,38,"['ye', 'movie', 'hindi', 'me', 'kaha', 'dekh', 'sakta', 'hu', '']"
1939,HM,Sab Bari tareef Kar rehe he movie ki🙏🙏🙏🙏,Sab Bari tareef Kar rehe he movie ki🙏🙏🙏🙏,Sab Bari tareef Kar rehe he movie ki,40,40,36,"['sab', 'bari', 'tareef', 'kar', 'rehe', 'he', 'movie', 'ki']"
