,LABEL,COMMENT,comclean,cleaned,sen_len1,sen_len2,sen_len3,tokens
697,GP,વિદ્યાર્થીઓ વચ્ચે બોલે છે એટલે ભણવામાં મજા નથી આવતી. ઘોઘાટ બોવ આવે છે,વિદ્યાર્થીઓ વચ્ચે બોલે છે એટલે ભણવામાં મજા નથી આવતી ઘોઘાટ બોવ આવે છે,વિદ્યાર્થીઓ વચ્ચે બોલે છે એટલે ભણવામાં મજા નથી આવતી ઘોઘાટ બોવ આવે છે,69,68,68,"['વિદ્યાર્થીઓ', 'વચ્ચે', 'બોલે', 'છે', 'એટલે', 'ભણવામાં', 'મજા', 'નથી', 'આવતી', 'ઘોઘાટ', 'બોવ', 'આવે', 'છે']"
699,GP,ગુજરાતી ઇતિહાસ આવી રીતે તમે જ શીખવી શકો બીજું કોઈ નહિ.😊😊😊😊😊😊,ગુજરાતી ઇતિહાસ આવી રીતે તમે જ શીખવી શકો બીજું કોઈ નહિ😊😊😊😊😊😊,ગુજરાતી ઇતિહાસ આવી રીતે તમે જ શીખવી શકો બીજું કોઈ નહિ,60,59,53,"['ગુજરાતી', 'ઇતિહાસ', 'આવી', 'રીતે', 'તમે', 'જ', 'શીખવી', 'શકો', 'બીજું', 'કોઈ', 'નહિ']"
721,GP,બહુ જ સરળ શબ્દો માં સચોટ શિક્ષણ  પદ્ધતિ.  અભિનંદન. ,બહુ જ સરળ શબ્દો માં સચોટ શિક્ષણ  પદ્ધતિ  અભિનંદન ,બહુ જ સરળ શબ્દો માં સચોટ શિક્ષણ  પદ્ધતિ  અભિનંદન ,51,49,49,"['બહુ', 'જ', 'સરળ', 'શબ્દો', 'માં', 'સચોટ', 'શિક્ષણ', 'પદ્ધતિ', 'અભિનંદન', '']"
740,GP,ખુબ જ સરસ ભણાવો છો......તમારા ભણાવેલા સબ્દો બધા યાદ રહી જાય છે,ખુબ જ સરસ ભણાવો છોતમારા ભણાવેલા સબ્દો બધા યાદ રહી જાય છે,ખુબ જ સરસ ભણાવો છોતમારા ભણાવેલા સબ્દો બધા યાદ રહી જાય છે,62,56,56,"['ખુબ', 'જ', 'સરસ', 'ભણાવો', 'છોતમારા', 'ભણાવેલા', 'સબ્દો', 'બધા', 'યાદ', 'રહી', 'જાય', 'છે']"
779,GP,પ્લે સ્ટોર માં બતાવતા નથી,પ્લે સ્ટોર માં બતાવતા નથી,પ્લે સ્ટોર માં બતાવતા નથી,25,25,25,"['પ્લે', 'સ્ટોર', 'માં', 'બતાવતા', 'નથી']"
780,GP,સર ટેલિગ્રામ માં એપ્લિકેશન ની લિંક મુકો,સર ટેલિગ્રામ માં એપ્લિકેશન ની લિંક મુકો,સર ટેલિગ્રામ માં એપ્લિકેશન ની લિંક મુકો,39,39,39,"['સર', 'ટેલિગ્રામ', 'માં', 'એપ્લિકેશન', 'ની', 'લિંક', 'મુકો']"
785,GP, અમે મોબાઈલ APP ના માધ્યમ થી પરીક્ષા લેવાના છીએ , અમે મોબાઈલ APP ના માધ્યમ થી પરીક્ષા લેવાના છીએ , અમે મોબાઈલ  ના માધ્યમ થી પરીક્ષા લેવાના છીએ ,48,48,45,"['', 'અમે', 'મોબાઈલ', 'ના', 'માધ્યમ', 'થી', 'પરીક્ષા', 'લેવાના', 'છીએ', '']"
786,GP, સ્પર્ધાત્મક પરીક્ષા માટે ના પેપર બનાવવા તમારી મદદ ની જરૂર છે , સ્પર્ધાત્મક પરીક્ષા માટે ના પેપર બનાવવા તમારી મદદ ની જરૂર છે , સ્પર્ધાત્મક પરીક્ષા માટે ના પેપર બનાવવા તમારી મદદ ની જરૂર છે ,62,62,62,"['', 'સ્પર્ધાત્મક', 'પરીક્ષા', 'માટે', 'ના', 'પેપર', 'બનાવવા', 'તમારી', 'મદદ', 'ની', 'જરૂર', 'છે', '']"
787,GP, તમારો સંપર્ક કેવી રીતે કરીયે?, તમારો સંપર્ક કેવી રીતે કરીયે, તમારો સંપર્ક કેવી રીતે કરીયે,30,29,29,"['', 'તમારો', 'સંપર્ક', 'કેવી', 'રીતે', 'કરીયે']"
788,GP, શ્રી હમીરભાઇ રાઠોડ ની શૈલી ખરેખર રોચક છે., શ્રી હમીરભાઇ રાઠોડ ની શૈલી ખરેખર રોચક છે, શ્રી હમીરભાઇ રાઠોડ ની શૈલી ખરેખર રોચક છે,42,41,41,"['', 'શ્રી', 'હમીરભાઇ', 'રાઠોડ', 'ની', 'શૈલી', 'ખરેખર', 'રોચક', 'છે']"
