,LABEL,COMMENT
3,GM,Atali Sundar mam as bakuda jode nathi sobhati .  
5,GM,Mast idiea  maryo Ho....tamari sikhaman amare Pan levi padse Ho.. Manguben ðŸ‘ŒðŸ¤£
6,GM,Va jitu bhai va
7,GM,Lala
11,GM,Mari baby pan jove se
12,GM,Nice jocks ame roj video jayia sia amne bahu game se
14,GM,Jordarr
15,GM,Ha Moj
17,GM,ha moj ha
21,GM,Bavj gme che ho aavidiyo jordar
25,GM,Ha moj ha
26,GM,PATI NA VIYOG MA VIYOGAN TITLE SARU CHEðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
29,GM,Jitu bhai  jordar
33,GM,Mangu ben me tamara badha episode joya 
34,GM,nice jitu bhai aav j video banava ta rho jitu ane magu ben
36,GM,Avi maja joie n to life pn khushi avi jae chhe jitu bhai....ðŸ˜…ðŸ˜‚ðŸ˜…ðŸ˜‚ðŸ˜…ðŸ˜‚ðŸ˜‚ðŸ˜…
38,GM,Maja aavi gai bhaiii...jordar
39,GM,Ekdam very nice video
40,GM,Jordar Jitu Bhai
44,GM,Bahu j OverActing Bhai
45,GM,Jordar....
46,GM,Good video jitubhai
47,GM,chhellodeevas àª›à«‡àª²à«àª²à«‹ àª¦àª¿àªµàª¸
49,GM,Nice boos kevu pare
50,GM,Saras che bhai
53,GM,Vah jitu bhai vah
66,GM,vah
67,GM,EK DAM BHANGAR  BAKVAS
78,GM,Wah
79,GM,SUPER   jodi
81,GM,Sorry atyare London chu.
82,GM,Hello mangu tu Bahuj sunder ne cute che phone number moklaw call Karu hu jamnagar thi chu Stuart london Jaldi maliye.
89,GM,Jamavat
93,GM,Mangu jordar
94,GM,Gujju ni moj you tube chennal chhe please juo
97,GM,Jordar video
98,GM,Kem so
101,GM,Jitubhai  mangu vagar video adhuro chhe ramjibhai galsar
102,GM,Vatshe ho baki tamaro  jordar vatshe
103,GM,jordar comedy.... gud 1 Mangu n jitu.... jodi jordar
104,GM,Wah jordar yaar
105,GM,Are jitubhai jordar &mangubhabhi comedy chaju rakho mja aavi gai
108,GM,AMARI CENNALE SUBSCRAIBE KARO (TIMLI DANCE)
112,GM,Gujarati
115,GM,ordar baki aaahh haa maja aai gai
116,GM,mast jitubhai
119,GM,Ha moj
124,GM,Ha jitu bhai no moj ha
126,GM,Suppr. Ho. Jitu. Bhai. Mangu. Ben
127,GM,Ha.mo.ha.jitu.bhai
131,GM,Ha majj
133,GM,Vah  dhirubhai vah
138,GM,Supar bhai bhai
139,GM,Bewafa
144,GM,"acting ma to manguben tame àª›àªµàª¾àªˆ àª—àª¯àª¾,"
145,GM,Wah-re maza awi gay
147,GM,"Jetli vaar joeye, tetli vaar maja aave àª›à«‡, "
148,GM,Tara piyar maa pag nahi muku
150,GM,ha bhai joooor
156,GM,Khub supar 6
160,GM,Wah Jitu bhai Wah 9662411509
161,GM,Jordaar....Jitu Jamavat ..and Mangu.....
162,GM,Jitu bhai mane to call k name  pan comment ma nathi aavtu 8618697802 MANILAL PATEL
168,GM,Mast
169,GM,Jordar comedy 6 jitubhai ane mangubenni actually aavu darek husband -wife ma bantu j hoy 6.aa true example 6.
174,GM,Jordar jitu bhai
175,GM,Good story ho bhai
176,GM,JITUBHAI NICE COMEDY
181,GM,Jordar jodi
182,GM,jordaar
185,GM,Wah!
191,GM,Su te gadi lidhi..va Sara's...lokone to cycle levani okat ni...vav.nice Daylok...Bhuka khadhe..va VA va..
193,GM,As video super. Dupar hit che..aa video Mara family ma aetli vaar jovayo che ..ke chokra pan. Aakho video modhe bole che. Kem k tamari language bov j funny che
194,GM,"Are plre e bija ame nai...Va va..ek nambar.Dailok...Bavj maja ave Tamara jok..jone...Veri nice...Besto pluck,,"
