,LABEL,COMMENT,comclean,cleaned,sen_len1,sen_len2,sen_len3,tokens
940,EM,થેંક્યુ સર 👌👌👌👌,થેંક્યુ સર 👌👌👌👌,થેંક્યુ સર ,15,15,11,"['થેંક્યુ', 'સર', '']"
1256,EM,વેરી ગુડ સાહેબ,વેરી ગુડ સાહેબ,વેરી ગુડ સાહેબ,14,14,14,"['વેરી', 'ગુડ', 'સાહેબ']"
1810,EM,સુપર,સુપર,સુપર,4,4,4,['સુપર']
2747,EM,વેરી ગુડ હિમેશ રેશમિયા. ,વેરી ગુડ હિમેશ રેશમિયા ,વેરી ગુડ હિમેશ રેશમિયા ,24,23,23,"['વેરી', 'ગુડ', 'હિમેશ', 'રેશમિયા', '']"
2851,EM,I m ગુજરાતી...H R...,I m ગુજરાતીH R,I m ગુજરાતીH R,20,14,14,"['i', 'm', 'ગુજરાતીh', 'r']"
3566,EM,माई फेवरेट गाना,माई फेवरेट गाना,माई फेवरेट गाना,15,15,15,"['माई', 'फेवरेट', 'गाना']"
5056,EM,Super bhai,Super bhai,Super bhai,10,10,10,"['super', 'bhai']"
5457,EM,પિગ પિટ નાઆ આવ ઈન,પિગ પિટ નાઆ આવ ઈન,પિગ પિટ નાઆ આવ ઈન,17,17,17,"['પિગ', 'પિટ', 'નાઆ', 'આવ', 'ઈન']"
5955,EM,નાઈસ,નાઈસ,નાઈસ,4,4,4,['નાઈસ']
6003,EM,સુપર,સુપર,સુપર,4,4,4,['સુપર']
6265,EM,ક્લિક,ક્લિક,ક્લિક,5,5,5,['ક્લિક']
6266,EM,ફુલ ઓડિયો સોન્ગ,ફુલ ઓડિયો સોન્ગ,ફુલ ઓડિયો સોન્ગ,15,15,15,"['ફુલ', 'ઓડિયો', 'સોન્ગ']"
6366,EM,गूजराती song bast,गूजराती song bast,गूजराती song bast,17,17,17,"['गूजराती', 'song', 'bast']"
6367,EM,सुपर,सुपर,सुपर,4,4,4,['सुपर']
6411,EM,सुपर सोंग ,सुपर सोंग ,सुपर सोंग ,10,10,10,"['सुपर', 'सोंग', '']"
6443,EM,રાકેશ નંબર વન,રાકેશ નંબર વન,રાકેશ નંબર વન,13,13,13,"['રાકેશ', 'નંબર', 'વન']"
6507,EM,नाईस सोंग बेस्ट 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,नाईस सोंग बेस्ट 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,नाईस सोंग बेस्ट ,42,42,16,"['नाईस', 'सोंग', 'बेस्ट', '']"
6566,EM,नाइस,नाइस,नाइस,4,4,4,['नाइस']
6575,EM,माई favorite  गाना,माई favorite  गाना,माई favorite  गाना,18,18,18,"['माई', 'favorite', 'गाना']"
6576,EM,વેરી ગુડ Himesh reshamiya,વેરી ગુડ Himesh reshamiya,વેરી ગુડ Himesh reshamiya,25,25,25,"['વેરી', 'ગુડ', 'himesh', 'reshamiya']"
